set,MWa,logKowb,Mptc,LogSaqd,LogSoce,Hdf,Hag,Texpi,Skin thicknessj,logJmaxm
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.334982174587527
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.599980364934842
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.019178833355664
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.39447947656253
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.422968014373968
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.184156709336733
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.317313521750231
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.246876755318288
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.288024145648244
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.273435783837755
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.367745223315286
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.436044535004187
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.2786841193941
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.327532686931917
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.282662417276136
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.230032198670557
